0,218/609,5693/14616,418/609,5693/7308,1027/1218,6623/7308
0,176/483,1301/3220,334/483,1301/1610,817/966,2911/3220
0,33/91,1979/4914,1697/2457,1979/2457,2077/2457,2267/2457
0,892/2457,659/1638,1697/2457,659/819,2077/2457,4721/4914
0,397/1092,183/455,943/1365,366/455,1154/1365,2519/2730
0,892/2457,659/1638,1697/2457,659/819,2077/2457,23/26
0,11324/30849,189967/462735,214009/308490,379934/462735,842669/925470,88583/94920
0,2203/6006,18484/45045,6409/9240,36968/45045,82013/90090,172103/180180
0,11324/30849,189967/462735,214009/308490,379934/462735,842669/925470,3617819/3701880
0,4969/13524,83339/202860,11731/16905,83339/101430,184769/202860,387629/405720
0,3919/10620,453349/1115100,64426/92925,453349/557550,514457/557550,700517/743400
0,343/930,119053/292950,67693/97650,119053/146475,270283/292950,563233/585900
0,3919/10620,453349/1115100,64426/92925,453349/557550,514457/557550,2186477/2230200
0,96/259,84773/209790,32317/46620,84773/104895,390751/419580,810331/839160
0,42853/117348,179194/440055,101569/146685,358388/440055,758783/880110,1557541/1760220
0,14851/41328,60889/154980,142081/206640,60889/77490,270443/309960,63013/68880
0,3813/10528,189521/473760,18161/26320,189521/236880,102779/118440,426401/473760
0,6611/18270,109517/274050,10502/15225,109517/137025,118876/137025,255901/274050
0,14981/41370,743801/1861650,23782/34475,743801/930825,807508/930825,1799519/1861650
0,893/2464,4027/10080,425/616,4027/5040,3007/3465,3236/3465
0,14981/41370,743801/1861650,23782/34475,743801/930825,807508/930825,559049/620550
0,56933/155760,3625/7788,1373/1947,3625/3894,27532/29205,55753/58410
0,17167/46992,13663/29370,10354/14685,13663/14685,16811/17622,42794/44055
0,1823/4928,9113/19404,1525/2156,9113/9702,12347/12936,18815/19404
0,8807/24288,12643/27324,3205/4554,12643/13662,239/253,246/253
0,3445/9504,1099/2376,19/27,1099/1188,17/18,1171/1188
0,17957/48576,8549/18216,2147/3036,8549/9108,2899/3036,5935/6072
0,3445/9504,1099/2376,19/27,1099/1188,17/18,1139/1188
