0,69669/203840,2637/6370,222/455,69669/101920,7376/9555,15287/19110
0,2623/7700,226679/554400,19091/39600,2623/3850,427547/554400,518233/554400
0,9337/27720,10897/23760,1018/2079,9337/13860,16727/20790,10897/11880
0,12569/37380,104383/224280,787/1602,12569/18690,45373/56070,25717/28035
0,3822491/11225760,693611/1683864,14507/30069,3822491/5612880,1627021/2104830,3731851/4209660
0,2397/7100,57457/127800,623/1278,2397/3550,25507/31950,57457/63900
0,10063/29880,82321/179280,2195/4482,10063/14940,9019/11205,10112/11205
0,474007/1390032,4216657/10425240,17918/37233,474007/695016,2002129/2606310,630499/744660
0,193309/567840,8773/21294,11743/24336,193309/283920,329351/425880,8773/10647
0,350333/1028160,81469/192780,21479/44064,350333/514080,300017/385560,252593/308448
0,7976372/23667787,12613465/34425872,57244723/142006722,15952744/23667787,67618233/94671148,116687005/142006722
0,21313153/63170250,373739011/1010724000,3455597/8422700,21313153/31585125,16518787/22971000,3455597/4211350
0,18831479921/55262712960,21689132389/55262712960,30544265/65788944,18831479921/27631356480,3463947517/4605226080,17969816509/22105085184
0,308272713683/912452224320,73500384049/195525476640,346007301167/821207001888,308272713683/456226112160,18672069685/25662718809,349853565407/410603500944
0,431965875559/1277551460640,34534216159/91253675760,163493319985/383265438192,431965875559/638775730320,17515681474/23954089887,163493319985/191632719096
0,1327658015/3905437536,3867145531/9763593840,13563782327/29290781520,1327658015/1952718768,1384318373/1830673845,50363956763/58581563040
0,10772663/31929690,188889371/510875040,8731287/21286460,10772663/15964845,18367421/25543752,13368754/15964845
0,4749569/14058252,21023501/56233008,11778695/28116504,4749569/7029126,5096171/7029126,11778695/14058252
0,15307186397/45048887520,8860950649/22524443760,36899419/80444442,15307186397/22524443760,4238148581/5631110940,37831630157/45048887520
0,306057/899360,44721/112420,1130/2409,306057/449680,42683/56210,4669/4818
0,1638541/4804800,242873/600600,1036/2145,1638541/2402400,20989/27300,2072/2145
0,973787/2852640,48577/118860,3749/7641,973787/1426320,46031/59430,939139/1069740
0,78307/230736,526107/1345960,2192357/4845456,78307/115368,412397/550620,1025807/1101240
0,10500037/30873360,6139429/15436680,8644073/18524016,10500037/15436680,17569063/23155020,8644073/9262008
0,15577351/45724000,13828253/34293000,19666001/41151600,15577351/22862000,39423463/51439500,94574749/102879000
0,31598761/93508800,1259543/3339600,11890231/28052640,31598761/46754400,465149/637560,1102709/1275120
0,13888459/41035680,186679/488520,5345117/12310704,13888459/20517840,2267441/3077676,5345117/6155352
0,23907217/70286160,13987069/35143080,19691885/42171696,23907217/35143080,40006903/52714620,92721523/105429240
0,669437/1983520,79297/212520,105967/255024,669437/991760,1615109/2231460,3778121/4462920
0,62415359/184699200,2488177/6596400,23492369/55409760,62415359/92349600,10107473/13852440,23492369/27704880
0,390538073/1147298880,38294741/95608240,162562021/344189664,390538073/573649440,328077653/430237080,722923667/860474160
0,20057/59808,2609/7476,1777/3738,20057/29904,1773/2492,1355/1869
0,28883/86064,1259/3586,2522/5379,28883/43032,7729/10758,45041/57376
0,16051/47808,701/1992,352/747,16051/23904,4301/5976,1099/1494
0,121/360,767/2160,2077/4320,121/180,3157/4320,919/1080
0,967/2880,169/480,677/1440,967/1440,1037/1440,2407/2880
0,27821/82896,1213/3454,2429/5181,27821/41448,677/942,128869/165792
0,13645/40656,85/242,1192/2541,13645/20328,3653/5082,8735/10164
0,29945/89232,1305/3718,2615/5577,29945/44616,8017/11154,41455/44616
0,4447/13248,97/276,779/1656,4447/6624,1193/1656,2849/3312
0,29945/89232,1305/3718,2615/5577,29945/44616,8017/11154,11743/14872
0,311/930,847/2480,5113/13020,311/465,8983/13020,879/1085
0,55639/166284,456283/1330272,134069/332568,55639/83142,25647/36952,134069/166284
0,705779/2104032,245409/701344,80923/175336,705779/1052016,53759/75144,3354731/4208064
0,1417855/4234104,974527/2822736,2617429/6351156,1417855/2117052,494843/705684,1338769/1587789
0,3699427/11040960,7657553/22081920,776941/1840160,3699427/5520480,3895597/5520480,776941/920080
0,21975773/65464560,23038723/65464560,2511709/5455380,21975773/32732280,262481/363692,37034117/43643040
0,28379/84816,58175/169632,34169/84816,28379/42408,19619/28272,70787/84816
0,3789/11315,37475/108624,18893/45260,7578/11315,19001/27156,18893/22630
0,164707/491040,85847/245520,28063/61380,164707/245520,21919/30690,410227/491040
0,691813/2062368,721717/2062368,237931/515592,691813/1031184,368903/515592,3263621/4124736
0,161/480,587/1680,757/1680,161/240,57/80,1597/1680
0,14893/44352,31/88,653/1386,14893/22176,3995/5544,653/693
0,24343/72480,3199/9060,1094/2265,24343/36240,2187/3020,15313/18120
0,265049/790944,11443/32956,43301/98868,265049/395472,69919/98868,22795/24717
0,138661/413280,54307/154980,71567/154980,138661/206640,111037/154980,71567/77490
0,142217/423696,18625/52962,1289/2716,142217/211848,38179/52962,191641/211848
0,46225/138096,330/959,9433/23016,46225/69048,6019/8631,7325/8631
0,12289/36680,953/2751,23437/55020,12289/18340,9682/13755,23437/27510
0,6989/20832,8209/23436,1547/3348,6989/10416,16795/23436,40231/46872
0,281/840,1007/2940,293/735,281/420,97/140,2417/2940
0,22607/67536,1937/5628,1539/3752,22607/33768,11777/16884,1539/1876
0,11047/32928,103/294,3823/8232,11047/16464,2951/4116,13261/16464
0,14893/44352,31/88,653/1386,14893/22176,31/44,3995/5544
0,2243/6672,2669/7506,1733/3753,2243/3336,2669/3753,94099/120096
0,3821/11360,1519/4260,991/2130,3821/5680,1519/2130,3121/4260
0,3511/10416,236/651,1237/2604,3511/5208,472/651,843/992
0,183/544,91/255,473/1020,183/272,182/255,455/544
0,6439/19152,365/1026,1658/3591,6439/9576,365/513,12707/16416
0,1049/3120,1249/3510,811/1755,1049/1560,1249/1755,1502/1755
0,6439/19152,365/1026,1658/3591,6439/9576,365/513,13325/14364
0,183/544,91/255,473/1020,183/272,182/255,437/510
0,6439/19152,365/1026,1658/3591,6439/9576,365/513,417/532
0,48925/146196,401581/1169568,18937/48732,48925/73098,401581/584784,117869/146196
0,12979/38750,321347/930000,46547/116250,12979/19375,321347/465000,46547/58125
0,155857/463760,493667/1391280,79759/173910,155857/231880,493667/695640,737313/927520
0,1381579/4119528,2876537/8239056,210649/514941,1381579/2059764,2876537/4119528,144628/171647
0,192331/572880,134383/381920,362713/859320,192331/286440,134383/190960,362713/429660
0,2172669/6454448,6954793/19363344,556645/1210209,2172669/3227224,6954793/9681672,32844425/38726688
0,1329/3968,20561/59520,23809/59520,1329/1984,20561/29760,3313/3968
0,3805/11346,42201/121024,4739/11346,3805/5673,42201/60512,4739/5673
0,161041/479136,85025/239568,27365/59892,161041/239568,85025/119784,400609/479136
0,456581/1358544,160711/452848,77867/169818,456581/679272,160711/226424,194471/247008
0,3289/9792,6/17,541/1224,3289/4896,12/17,1153/1224
0,3499/10400,1393/3900,907/1950,3499/5200,1393/1950,907/975
0,16415/48768,729/2032,1459/3048,16415/24384,729/1016,5105/6096
0,13605/40544,47995/136836,59113/136836,13605/20272,47995/68418,31499/34209
0,68009/202272,8999/25284,11657/25284,68009/101136,8999/12642,11657/12642
0,44087/131040,293/819,15527/32760,44087/65520,586/819,9859/10920
0,2721/8120,845/2436,412/1015,2721/4060,845/1218,2063/2436
0,12403/36960,3239/9240,7859/18480,12403/18480,3239/4620,7859/9240
0,68009/202272,8999/25284,11657/25284,68009/101136,8999/12642,21641/25284
0,5737/17136,41/119,3371/8568,5737/8568,82/119,874/1071
0,10603/31640,4117/11865,6429/15820,10603/15820,8234/11865,6429/7910
0,32717/97328,4325/12166,33653/72996,32717/48664,4325/6083,58339/72996
0,17587/51240,1417/3660,1217/2562,17587/25620,1213/1708,928/1281
